Fecha,H44,H55
2012-05-01,1.353412,
2012-06-01,1.120414,
2012-07-01,0.715921,
2012-08-01,0.945051,
2012-09-01,0.899377,
2012-10-01,0.496523,
2012-11-01,0.626801,
2012-12-01,0.462199,
2013-01-01,0.567911,
2013-02-01,0.872608,
2013-03-01,0.637981,
2013-04-01,0.623106,
2013-05-01,0.965493,
2013-06-01,0.715337,
2013-07-01,1.053813,
2013-08-01,0.731433,
2013-09-01,0.760559,
2013-10-01,,
2013-11-01,,
2013-12-01,,
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,0.997941,
2015-05-01,1.290637,
2015-06-01,2.442836,
2015-07-01,2.455335,
2015-08-01,1.817671,
2015-09-01,1.097815,
2015-10-01,0.948270,
2015-11-01,0.920170,
2015-12-01,0.991046,
2016-01-01,1.195827,
2016-02-01,1.111120,
2016-03-01,0.860167,
2016-04-01,1.492510,
2016-05-01,0.868176,
2016-06-01,1.366746,
2016-07-01,1.085685,
2016-08-01,0.891846,
2016-09-01,1.112271,
2016-10-01,1.151038,
2016-11-01,0.753884,
2016-12-01,0.776584,
2017-01-01,1.239243,
2017-02-01,1.183347,
2017-03-01,,
2017-04-01,,
2017-05-01,,
2017-06-01,,
2017-07-01,,
2017-08-01,,
2017-09-01,1.287357,
2017-10-01,0.979730,
2017-11-01,1.050344,
2017-12-01,0.787286,
2018-01-01,1.247719,
2018-02-01,0.815000,
2018-03-01,0.818549,
2018-04-01,1.322547,
2018-05-01,2.180704,
2018-06-01,1.840425,
2018-07-01,1.928347,
2018-08-01,2.059257,
2018-09-01,1.576505,
2018-10-01,1.226810,
2018-11-01,1.266363,
2018-12-01,1.835629,
2019-01-01,1.423598,
2019-02-01,1.556749,
2019-03-01,1.344659,
2019-04-01,1.619415,
2019-05-01,2.219788,1.580574
2019-06-01,,1.656564
2019-07-01,,1.589370
2019-08-01,,
2019-09-01,,
2019-10-01,,1.023695
2019-11-01,1.289906,0.962530
2019-12-01,0.920809,0.968017
2020-01-01,0.862065,0.969167
2020-02-01,0.718632,0.970217
2020-03-01,0.756496,0.961084
2020-04-01,0.661487,0.978426
2020-05-01,,1.015890
2020-06-01,,1.310815
2020-07-01,,1.379260
2020-08-01,,1.159154
2020-09-01,,1.216530
2020-10-01,,0.974647
2020-11-01,1.003154,0.999448
2020-12-01,0.781137,0.927489
2021-01-01,0.845059,0.955618
2021-02-01,0.819897,0.950502
2021-03-01,,1.163976
2021-04-01,,1.204295
2021-05-01,,1.416997
2021-06-01,1.457808,1.477305
2021-07-01,1.414334,1.602485
2021-08-01,0.795903,1.058772
2021-09-01,1.253464,1.515227
2021-10-01,0.813957,0.962382
2021-11-01,0.575585,0.918586
2021-12-01,0.519829,0.926613
2022-01-01,0.276940,0.887611
2022-02-01,0.304484,0.887166
