Fecha,H32,H34,H36,H45
2009-04-01,0.656537,,,
2009-05-01,0.676150,,,
2009-06-01,1.726343,,,
2009-07-01,,,,
2009-08-01,,,,
2009-09-01,0.971272,,,
2009-10-01,0.657546,,,
2009-11-01,0.540555,,,
2009-12-01,0.409987,,,
2010-01-01,0.359241,,,
2010-02-01,,1.776843,,
2010-03-01,,1.631019,,
2010-04-01,,1.740811,,
2010-05-01,,2.501138,,
2010-06-01,0.836430,3.372281,,
2010-07-01,0.499390,2.772444,,
2010-08-01,0.577271,3.096919,2.570462,
2010-09-01,0.536927,2.014393,1.867255,
2010-10-01,0.418559,1.579788,1.036426,
2010-11-01,0.447066,,,
2010-12-01,0.446125,,,
2011-01-01,0.458407,,1.328041,
2011-02-01,0.423057,,1.410013,
2011-03-01,0.464287,1.951920,1.874375,
2011-04-01,,2.202603,,
2011-05-01,,3.268222,,
2011-06-01,,,,
2011-07-01,,,,
2011-08-01,,,2.676002,
2011-09-01,0.681061,,2.239119,
2011-10-01,0.607194,,1.756470,
2011-11-01,0.499527,,0.957771,
2011-12-01,0.523223,1.852837,1.351726,
2012-01-01,0.566186,1.963298,1.726779,
2012-02-01,0.643485,2.444812,2.532691,1.646605
2012-03-01,0.568397,2.807010,2.775800,
2012-04-01,0.534212,2.280018,2.364629,1.566867
2012-05-01,0.594401,2.862640,3.229443,
2012-06-01,0.617172,3.054684,3.395279,2.034129
2012-07-01,0.613495,3.383767,3.111409,2.011014
2012-08-01,0.653446,3.036857,2.442829,
2012-09-01,,2.264843,3.051248,1.406835
2012-10-01,,1.710747,1.281960,
2012-11-01,,1.250260,0.847413,0.698501
2012-12-01,,1.198619,0.827193,0.806534
2013-01-01,,,4.053995,
2013-02-01,,2.356609,,1.461522
2013-03-01,,2.496262,,1.834764
2013-04-01,,1.871066,2.203966,1.405967
2013-05-01,,2.280075,3.091273,1.765021
2013-06-01,,3.103277,3.590687,1.908278
2013-07-01,,4.008173,3.953835,2.249516
2013-08-01,,3.372934,3.084950,2.043599
2013-09-01,,2.804659,2.309646,1.756174
2013-10-01,,2.983880,2.018862,1.515908
2013-11-01,,2.103723,1.568302,1.223915
2013-12-01,,1.613559,1.239228,0.925620
2014-01-01,,1.548767,1.860025,1.248691
2014-02-01,,1.377784,,0.511489
2014-03-01,,2.032156,,0.957002
2014-04-01,,2.787942,,1.446128
2014-05-01,,4.654332,,2.693018
2014-06-01,,6.720215,,9.695808
2014-07-01,,5.476009,,3.069314
2014-08-01,,5.003789,,2.110078
2014-09-01,,4.161335,,2.286661
2014-10-01,,2.867794,,1.316699
2014-11-01,,2.414997,,0.809419
2014-12-01,,,,0.947220
2015-01-01,,2.972796,3.127442,1.430140
2015-02-01,,3.146809,3.047495,1.496673
2015-03-01,,2.596131,2.420861,1.149612
2015-04-01,,3.339042,2.854358,1.438811
2015-05-01,,4.588192,5.767111,2.563962
2015-06-01,,,7.570292,
2015-07-01,,,6.494569,3.174009
2015-08-01,,,5.705926,6.195200
2015-09-01,,,3.411957,4.082018
2015-10-01,,,2.274937,2.901436
2015-11-01,,,2.433422,2.663789
2015-12-01,0.591983,0.855718,1.853500,
2016-01-01,0.508040,0.493609,1.402354,
2016-02-01,,0.929779,2.484855,2.907027
2016-03-01,,1.168960,3.187485,6.470529
2016-04-01,,1.522854,4.887261,
2016-05-01,0.593499,0.536435,3.196381,
2016-06-01,0.774052,4.120706,5.176488,
2016-07-01,0.750612,1.352483,5.177710,
2016-08-01,0.629913,0.352224,3.809530,
2016-09-01,0.553998,0.543375,3.147456,
2016-10-01,0.533637,0.187173,2.569839,
2016-11-01,0.450852,,1.466152,
2016-12-01,0.413722,,0.884659,
2017-01-01,0.414940,,1.329872,
2017-02-01,,0.047236,1.413183,
2017-03-01,,0.139716,0.968495,
2017-04-01,,0.220084,1.997701,
2017-05-01,,0.253722,2.410960,3.578766
2017-06-01,,0.443171,2.621300,4.188662
2017-07-01,,,,3.911165
2017-08-01,,,,
2017-09-01,0.504298,,2.874903,
2017-10-01,0.449787,,1.876505,2.629933
2017-11-01,0.425720,,1.694753,2.341414
2017-12-01,0.440922,,1.631624,
2018-01-01,0.526272,,2.948098,
2018-02-01,0.468045,,2.376109,
2018-03-01,0.391574,,1.539416,2.490734
2018-04-01,0.357757,,1.171317,2.122116
2018-05-01,0.504997,,2.930716,4.103970
2018-06-01,0.541358,,3.251106,4.188129
2018-07-01,0.569453,,3.880665,4.517869
2018-08-01,,,3.792338,
2018-09-01,0.380896,,2.371092,
2018-10-01,0.333814,,1.362644,
2018-11-01,0.301516,,1.071560,
2018-12-01,0.375703,,1.909628,
2019-01-01,0.472317,,2.130587,2.386387
2019-02-01,0.423347,,,4.142425
2019-03-01,0.468215,,,8.611957
2019-04-01,0.481483,,1.089575,8.459623
2019-05-01,0.952381,,,10.492362
2019-06-01,0.840568,,4.837057,14.225163
2019-07-01,0.880298,,6.026082,9.353991
2019-08-01,0.786270,,3.868928,
2019-09-01,0.722133,,2.196546,
2019-10-01,0.699401,,1.642626,
2019-11-01,0.894093,,2.045810,
2019-12-01,0.973675,,1.593203,
2020-01-01,0.582884,,2.246154,
2020-02-01,0.544675,0.154948,,
2020-03-01,1.140836,0.180045,1.472212,
2020-04-01,1.291042,0.239919,2.058433,
2020-05-01,0.676535,0.330510,,
2020-06-01,0.416772,0.281033,4.414522,6.690685
