Fecha,H33
2010-05-01,3.756883
2010-06-01,3.954620
2010-07-01,3.001995
2010-08-01,2.652775
2010-09-01,2.246330
2010-10-01,1.845769
2010-11-01,2.412523
2010-12-01,2.283073
2011-01-01,2.179708
2011-02-01,1.977723
2011-03-01,2.215018
2011-04-01,3.395781
2011-05-01,3.463019
2011-06-01,3.939240
2011-07-01,4.164293
2011-08-01,2.770091
2011-09-01,2.977050
2011-10-01,2.219829
2011-11-01,1.902097
2011-12-01,3.502139
2012-01-01,3.829029
2012-02-01,3.236397
2012-03-01,3.973779
2012-04-01,3.274927
2012-05-01,4.018210
2012-06-01,3.872274
2012-07-01,3.614311
2012-08-01,3.299946
2012-09-01,2.612405
2012-10-01,2.468068
2012-11-01,2.175616
2012-12-01,2.619049
2013-01-01,5.893368
2013-02-01,6.013784
2013-03-01,6.052269
2013-04-01,6.044047
2013-05-01,7.672878
2013-06-01,8.703426
2013-07-01,7.989258
2013-08-01,5.877665
2013-09-01,5.761388
2013-10-01,5.618009
2013-11-01,5.213917
2013-12-01,5.250481
2014-01-01,5.953105
2014-02-01,4.463367
2014-03-01,6.444162
2014-04-01,7.656515
2014-05-01,
2014-06-01,6.565052
2014-07-01,
2014-08-01,
2014-09-01,
2014-10-01,
2014-11-01,
2014-12-01,
2015-01-01,
2015-02-01,6.800564
2015-03-01,6.945162
2015-04-01,7.206735
2015-05-01,4.807740
2015-06-01,4.928510
2015-07-01,4.374943
2015-08-01,1.314616
2015-09-01,1.937797
2015-10-01,
2015-11-01,
2015-12-01,2.410802
2016-01-01,3.187414
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,5.185634
2016-06-01,6.201414
2016-07-01,5.661659
2016-08-01,4.895219
2016-09-01,4.642331
2016-10-01,3.667760
2016-11-01,
2016-12-01,
2017-01-01,
2017-02-01,2.637998
2017-03-01,3.286616
2017-04-01,3.951186
2017-05-01,
2017-06-01,
2017-07-01,
2017-08-01,5.427905
2017-09-01,5.225554
2017-10-01,5.274894
2017-11-01,4.292937
2017-12-01,4.440741
2018-01-01,4.856436
2018-02-01,1.938895
2018-03-01,4.660433
2018-04-01,4.781304
2018-05-01,5.853870
2018-06-01,4.447345
2018-07-01,4.436825
2018-08-01,0.980091
