Fecha,H44,H55
2012-05-01,30.462638,
2012-06-01,26.009761,
2012-07-01,17.767157,
2012-08-01,22.543976,
2012-09-01,21.769557,
2012-10-01,13.286653,
2012-11-01,16.086777,
2012-12-01,12.522161,
2013-01-01,14.661730,
2013-02-01,20.881882,
2013-03-01,16.295767,
2013-04-01,16.053522,
2013-05-01,22.972189,
2013-06-01,18.182727,
2013-07-01,24.567084,
2013-08-01,18.509938,
2013-09-01,19.016919,
2013-10-01,,
2013-11-01,,
2013-12-01,,
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,23.471667,
2015-05-01,29.117895,
2015-06-01,48.882510,
2015-07-01,48.853155,
2015-08-01,38.572528,
2015-09-01,25.558664,
2015-10-01,22.674678,
2015-11-01,21.861369,
2015-12-01,23.371932,
2016-01-01,27.424387,
2016-02-01,25.635321,
2016-03-01,20.844211,
2016-04-01,32.556297,
2016-05-01,21.044588,
2016-06-01,30.504463,
2016-07-01,25.193748,
2016-08-01,21.566910,
2016-09-01,25.450910,
2016-10-01,26.388372,
2016-11-01,18.760257,
2016-12-01,19.141104,
2017-01-01,,
2017-02-01,27.194227,
2017-03-01,,
2017-04-01,,
2017-05-01,,
2017-06-01,,
2017-07-01,,
2017-08-01,,
2017-09-01,28.847942,
2017-10-01,23.404384,
2017-11-01,24.550704,
2017-12-01,19.535179,
2018-01-01,28.277422,
2018-02-01,20.142945,
2018-03-01,20.181534,
2018-04-01,29.609727,
2018-05-01,44.559403,
2018-06-01,38.871672,
2018-07-01,40.388258,
2018-08-01,42.489859,
2018-09-01,34.188922,
2018-10-01,28.016299,
2018-11-01,28.595539,
2018-12-01,38.899505,
2019-01-01,31.732083,
2019-02-01,34.027556,
2019-03-01,30.230257,
2019-04-01,35.092743,
2019-05-01,45.219024,26.095819
2019-06-01,,28.072824
2019-07-01,,27.127890
2019-08-01,,
2019-09-01,,
2019-10-01,,22.161628
2019-11-01,29.216658,21.651918
2019-12-01,22.309396,21.772360
2020-01-01,21.122635,21.818353
2020-02-01,18.190585,21.838866
2020-03-01,18.859139,21.616600
2020-04-01,16.892337,21.963804
2020-05-01,,22.699260
2020-06-01,,25.027352
2020-07-01,,26.303227
2020-08-01,,24.441373
2020-09-01,,25.069878
2020-10-01,,21.899484
2020-11-01,23.215259,21.506680
2020-12-01,19.329577,20.580844
2021-01-01,20.567486,21.336999
2021-02-01,20.066471,21.215606
2021-03-01,,24.293852
2021-04-01,,24.007946
2021-05-01,,26.949685
2021-06-01,31.789674,26.431227
2021-07-01,30.958420,26.492497
2021-08-01,19.592431,23.349886
2021-09-01,27.969559,25.116606
2021-10-01,20.024690,21.314942
2021-11-01,15.030039,19.725301
2021-12-01,13.734945,19.468078
2022-01-01,8.417542,18.392025
2022-02-01,9.043286,18.113368
