Fecha,H31,H32,H34,H36,H45,H46
2007-10-01,22.373516,,,,,
2007-11-01,24.443772,,,,,
2007-12-01,20.952381,,,,,
2008-01-01,20.171910,,,,,
2008-02-01,20.053285,,,,,
2008-03-01,15.068311,,,,,
2008-04-01,21.353726,,,,,
2008-05-01,27.950581,,,,,
2008-06-01,30.657459,,,,,
2008-07-01,32.576331,,,,,
2008-08-01,30.991235,,,,,
2008-09-01,31.624029,,,,,
2008-10-01,28.537009,,,,,
2008-11-01,24.362360,,,,,
2008-12-01,22.478866,,,,,
2009-01-01,28.376406,,,,,
2009-02-01,27.541800,,,,,
2009-03-01,22.745605,,,,,
2009-04-01,,18.739258,,,,
2009-05-01,,19.131857,,,,
2009-06-01,38.112842,34.005044,,,,
2009-07-01,41.159607,,,,,
2009-08-01,26.562661,,,,,
2009-09-01,21.581492,23.977597,,,,
2009-10-01,,18.932111,,,,
2009-11-01,14.018193,16.757691,,,,
2009-12-01,12.187078,14.123545,,,,
2010-01-01,16.522527,12.773582,,,,
2010-02-01,26.806451,,51.898662,,,
2010-03-01,21.449364,,50.670026,,,
2010-04-01,27.646490,,51.561491,,,
2010-05-01,30.234919,,57.017191,,,
2010-06-01,35.054072,21.848536,61.734022,,,
2010-07-01,26.773874,15.971172,58.723905,,,
2010-08-01,27.486492,17.468734,60.444355,30.353557,,
2010-09-01,22.417607,16.703847,53.657325,25.254261,,
2010-10-01,,14.326443,50.219931,17.809785,,
2010-11-01,,14.912268,,,,
2010-12-01,19.949527,14.902278,,,,
2011-01-01,19.137343,15.150874,,20.371729,,
2011-02-01,22.390450,14.418924,,21.357969,,
2011-03-01,21.494718,15.273723,53.320421,25.359455,,
2011-04-01,27.762932,,55.092877,,,
2011-05-01,30.910457,,59.907688,,,
2011-06-01,34.864238,,,,,
2011-07-01,38.515497,,,,,
2011-08-01,27.136172,,,31.160865,,
2011-09-01,28.766701,19.349583,,28.099623,,
2011-10-01,22.529466,18.022133,,24.348701,,
2011-11-01,16.185979,15.977870,,16.936759,,
2011-12-01,24.246076,16.432124,52.250333,20.506250,,
2012-01-01,24.247510,17.265143,53.370875,24.133642,,
2012-02-01,28.401683,18.667002,56.415979,29.801916,52.563200,
2012-03-01,33.512248,17.304099,58.891454,31.959889,,
2012-04-01,11.958856,16.657411,55.625428,29.138754,51.448817,31.083615
2012-05-01,31.064497,17.770341,58.906180,34.569950,,38.838669
2012-06-01,35.019374,18.203264,60.244569,35.924338,58.387502,42.563794
2012-07-01,35.434178,18.140905,61.796183,34.209274,58.099682,40.903598
2012-08-01,35.103143,18.855466,58.905385,29.313822,,36.552528
2012-09-01,35.547269,,55.341579,33.285322,48.544479,32.866351
2012-10-01,23.352999,,51.341337,20.138807,,25.026648
2012-11-01,18.865221,,47.105370,15.790125,34.230622,10.631470
2012-12-01,20.008902,,46.518909,15.565883,36.310460,16.432848
2013-01-01,27.643980,,,38.971277,,31.810981
2013-02-01,31.336741,,55.692041,,48.790003,31.276540
2013-03-01,30.925486,,56.948943,,55.284843,33.405634
2013-04-01,29.952539,,52.513743,27.845023,48.710301,30.822288
2013-05-01,34.129309,,55.347177,34.071613,54.468176,36.750550
2013-06-01,38.405813,,60.469324,37.297869,56.601751,39.287428
2013-07-01,34.992023,,64.223208,39.239680,61.080443,42.759017
2013-08-01,31.496192,,61.820690,34.014315,58.546620,35.310252
2013-09-01,33.373594,,58.786647,28.696280,54.337140,33.952826
2013-10-01,25.363960,,59.813266,26.514606,50.510607,
2013-11-01,,,54.472437,22.805653,45.557282,
2013-12-01,,,50.223254,19.828965,39.503484,
2014-01-01,,,49.886668,25.151656,45.424186,
2014-02-01,,,48.236537,,29.440412,
2014-03-01,,,53.250960,,37.870311,
2014-04-01,,,58.571307,,49.246239,
2014-05-01,,,66.852466,,66.095540,
2014-06-01,,,69.464511,,124.686144,
2014-07-01,,,69.906275,,69.863187,
2014-08-01,,,68.134608,,59.196537,
2014-09-01,,,64.634222,,61.522151,
2014-10-01,,,58.922485,,47.139198,
2014-11-01,,,56.638060,,37.136533,
2014-12-01,,,,,39.912871,
2015-01-01,,,59.833128,34.152952,48.878133,
2015-02-01,,,60.702810,33.690944,50.042858,
2015-03-01,,,57.640740,29.410916,43.978725,
2015-04-01,,,61.552659,32.257021,48.795901,
2015-05-01,37.357557,,67.465002,49.000178,65.185305,
2015-06-01,60.085228,,,57.745225,,
2015-07-01,66.893796,,,52.868884,71.462074,
2015-08-01,60.077663,,,48.809549,100.634264,
2015-09-01,,,,35.961132,81.909296,
2015-10-01,32.451550,,,28.431944,69.512782,
2015-11-01,31.012158,,,29.476428,66.649777,
2015-12-01,,17.743100,41.775580,25.161390,,
2016-01-01,,16.145632,35.917287,21.285394,,
2016-02-01,,,41.082493,28.860172,68.994308,
2016-03-01,47.594747,,44.958437,34.354944,102.795165,
2016-04-01,47.692978,,47.411103,44.729328,,
2016-05-01,47.326192,17.771864,35.089384,34.813207,,
