Fecha,H33
2010-05-01,27.733685
2010-06-01,29.273574
2010-07-01,21.854954
2010-08-01,19.135387
2010-09-01,15.970176
2010-10-01,12.850778
2010-11-01,17.264411
2010-12-01,16.256309
2011-01-01,15.451351
2011-02-01,13.878378
2011-03-01,15.726330
2011-04-01,24.921585
2011-05-01,25.445206
2011-06-01,29.153803
2011-07-01,30.906419
2011-08-01,20.048993
2011-09-01,21.660694
2011-10-01,15.763793
2011-11-01,13.289437
2011-12-01,25.749852
2012-01-01,28.295533
2012-02-01,23.680371
2012-03-01,29.422775
2012-04-01,23.980430
2012-05-01,29.768789
2012-06-01,28.632305
2012-07-01,26.623403
2012-08-01,24.175269
2012-09-01,18.821004
2012-10-01,17.696970
2012-11-01,15.419482
2012-12-01,18.872743
2013-01-01,44.371687
2013-02-01,45.309429
2013-03-01,45.609131
2013-04-01,45.545106
2013-05-01,58.229720
2013-06-01,66.255165
2013-07-01,60.693546
2013-08-01,44.249399
2013-09-01,43.343882
2013-10-01,42.227309
2013-11-01,39.080418
2013-12-01,39.365163
2014-01-01,44.836886
2014-02-01,33.235471
2014-03-01,48.661019
2014-04-01,58.102288
2014-05-01,
2014-06-01,49.602461
2014-07-01,
2014-08-01,
2014-09-01,
2014-10-01,
2014-11-01,
2014-12-01,
2015-01-01,
2015-02-01,51.436523
2015-03-01,52.562587
2015-04-01,54.599604
2015-05-01,35.917296
2015-06-01,36.857796
2015-07-01,32.546866
2015-08-01,8.714394
2015-09-01,13.567457
2015-10-01,
2015-11-01,
2015-12-01,17.251006
2016-01-01,23.298917
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,38.860167
2016-06-01,46.770611
2016-07-01,42.567238
2016-08-01,36.598541
2016-09-01,34.629167
2016-10-01,27.039637
2016-11-01,
2016-12-01,
2017-01-01,
2017-02-01,19.020311
2017-03-01,24.071455
2017-04-01,29.246837
2017-05-01,
2017-06-01,
2017-07-01,
2017-08-01,40.746868
2017-09-01,39.171047
2017-10-01,39.555282
2017-11-01,31.908238
2017-12-01,33.059268
2018-01-01,36.296517
2018-02-01,13.576007
2018-03-01,34.770134
2018-04-01,35.711423
2018-05-01,44.064094
2018-06-01,33.110700
2018-07-01,33.028777
2018-08-01,6.109263
