Fecha,H34,H45,H46
2010-02-01,51.898662,,
2010-03-01,50.670026,,
2010-04-01,51.561491,,
2010-05-01,57.017191,,
2010-06-01,61.734022,,
2010-07-01,58.723905,,
2010-08-01,60.444355,,
2010-09-01,53.657325,,
2010-10-01,50.219931,,
2010-11-01,,,
2010-12-01,,,
2011-01-01,,,
2011-02-01,,,
2011-03-01,53.320421,,
2011-04-01,55.092877,,
2011-05-01,59.907688,,
2011-06-01,,,
2011-07-01,,,
2011-08-01,,,
2011-09-01,,,
2011-10-01,,,
2011-11-01,,,
2011-12-01,52.250333,,
2012-01-01,53.370875,,
2012-02-01,56.415979,52.563200,
2012-03-01,58.891454,,
2012-04-01,55.625428,51.448817,31.083615
2012-05-01,58.906180,,38.838669
2012-06-01,60.244569,58.387502,42.563794
2012-07-01,61.796183,58.099682,40.903598
2012-08-01,58.905385,,36.552528
2012-09-01,55.341579,48.544479,32.866351
2012-10-01,51.341337,,25.026648
2012-11-01,47.105370,34.230622,10.631470
2012-12-01,46.518909,36.310460,16.432848
2013-01-01,,,31.810981
2013-02-01,55.692041,48.790003,31.276540
2013-03-01,56.948943,55.284843,33.405634
2013-04-01,52.513743,48.710301,30.822288
2013-05-01,55.347177,54.468176,36.750550
2013-06-01,60.469324,56.601751,39.287428
2013-07-01,64.223208,61.080443,42.759017
2013-08-01,61.820690,58.546620,35.310252
2013-09-01,58.786647,54.337140,33.952826
2013-10-01,59.813266,50.510607,
2013-11-01,54.472437,45.557282,
2013-12-01,50.223254,39.503484,
2014-01-01,49.886668,45.424186,
2014-02-01,48.236537,29.440412,
2014-03-01,53.250960,37.870311,
2014-04-01,58.571307,49.246239,
2014-05-01,66.852466,66.095540,
2014-06-01,69.464511,124.686144,
2014-07-01,69.906275,69.863187,
2014-08-01,68.134608,59.196537,
2014-09-01,64.634222,61.522151,
2014-10-01,58.922485,47.139198,
2014-11-01,56.638060,37.136533,
2014-12-01,,39.912871,
2015-01-01,59.833128,48.878133,
2015-02-01,60.702810,50.042858,
2015-03-01,57.640740,43.978725,
2015-04-01,61.552659,48.795901,
2015-05-01,67.465002,65.185305,
2015-06-01,,,
2015-07-01,,71.462074,
2015-08-01,,100.634264,
2015-09-01,,81.909296,
2015-10-01,,69.512782,
2015-11-01,,66.649777,
2015-12-01,41.775580,,
2016-01-01,35.917287,,
2016-02-01,41.082493,68.994308,
2016-03-01,44.958437,102.795165,
2016-04-01,47.411103,,
2016-05-01,35.089384,,
2016-06-01,61.194340,,
2016-07-01,44.359500,,
2016-08-01,31.800044,,
2016-09-01,34.262750,,
2016-10-01,26.517292,,
2016-11-01,,,
2016-12-01,,,
2017-01-01,,,
2017-02-01,17.274306,,
2017-03-01,24.533347,,
2017-04-01,28.567611,,
2017-05-01,28.162861,76.990562,
2017-06-01,34.562542,83.081859,
2017-07-01,,79.913207,
2017-08-01,,,
2017-09-01,,,
2017-10-01,,66.224067,
2017-11-01,,62.327496,
2017-12-01,,,
2018-01-01,,,
2018-02-01,,,
2018-03-01,,64.505965,
2018-04-01,,59.651496,
2018-05-01,,81.982056,
2018-06-01,,82.904577,
2018-07-01,,86.125596,
2018-08-01,,,
2018-09-01,,,
2018-10-01,,,
2018-11-01,,,
2018-12-01,,,
2019-01-01,,62.579338,
2019-02-01,,80.590314,
2019-03-01,,118.481243,
2019-04-01,,117.373812,
2019-05-01,,129.936828,
2019-06-01,,150.783493,
2019-07-01,,123.099982,
2019-08-01,,,
2019-09-01,,,
2019-10-01,,,
2019-11-01,,,
2019-12-01,,,
2020-01-01,,,
2020-02-01,20.750383,,
2020-03-01,19.959057,,
2020-04-01,20.145587,,
2020-05-01,24.059627,,
2020-06-01,26.113284,103.476184,
2020-07-01,,,
2020-08-01,27.331640,,
2020-09-01,27.772356,,
2020-10-01,,,
2020-11-01,,,
2020-12-01,26.335575,,
2021-01-01,,,
2021-02-01,32.737221,,
2021-03-01,30.731195,,
2021-04-01,29.387594,,
2021-05-01,37.877035,,
2021-06-01,33.595799,,
2021-07-01,46.545416,,
2021-08-01,33.844604,,
2021-09-01,28.037958,,
2021-10-01,26.421914,,
2021-11-01,22.016469,,
2021-12-01,27.837727,,
2022-01-01,29.033996,,
2022-02-01,27.226135,,
2022-03-01,25.382542,,
2022-04-01,,,
2022-05-01,,,
2022-06-01,,,
2022-07-01,,,
2022-08-01,,,
2022-09-01,30.542120,,
2022-10-01,31.024242,,
2022-11-01,30.895410,,
2022-12-01,31.624765,,
2023-01-01,28.568749,,
2023-02-01,26.303860,,
2023-03-01,29.891149,,
2023-04-01,26.177743,,
2023-05-01,33.044259,,
2023-06-01,39.441193,,
2023-07-01,44.045378,,
2023-08-01,43.381216,,
2023-09-01,33.133350,,
2023-10-01,27.386118,,
2023-11-01,31.258765,,
2023-12-01,33.182581,,
2024-01-01,35.916264,,
2024-02-01,31.396397,,
2024-03-01,35.579879,,
