Fecha,P34,P63,M5023
2003-01-01,50.88,,
2003-02-01,115.68,,
2003-03-01,150.00,,
2003-04-01,78.96,,
2003-05-01,180.24,,
2003-06-01,145.68,,
2003-07-01,214.32,,
2003-08-01,54.72,,
2003-09-01,91.68,,
2003-10-01,64.32,,
2003-11-01,47.52,,
2003-12-01,90.72,,
2004-01-01,11.28,,
2004-02-01,56.80,,
2004-03-01,151.68,,
2004-04-01,121.92,,
2004-05-01,138.48,,
2004-06-01,184.80,,
2004-07-01,,,
2004-08-01,,,
2004-09-01,,,
2004-10-01,,,
2004-11-01,,,
2004-12-01,47.04,,
2005-01-01,10.08,,
2005-02-01,80.64,,
2005-03-01,86.16,,
2005-04-01,153.84,,
2005-05-01,78.00,,
2005-06-01,158.16,,
2005-07-01,,,
2005-08-01,,,
2005-09-01,,,
2005-10-01,,,
2005-11-01,,,
2005-12-01,,,
2006-01-01,76.32,,
2006-02-01,46.56,,
2006-03-01,74.64,,
2006-04-01,116.64,,
2006-05-01,95.52,,
2006-06-01,190.08,,
2006-07-01,120.00,,
2006-08-01,93.84,,
2006-09-01,,,
2006-10-01,,,
2006-11-01,104.16,,
2006-12-01,54.72,,
2007-01-01,50.88,,
2007-02-01,48.72,,
2007-03-01,,,
2007-04-01,,,
2007-05-01,67.92,,
2007-06-01,220.80,,
2007-07-01,59.76,,
2007-08-01,174.00,,
2007-09-01,83.28,,
2007-10-01,69.12,,
2007-11-01,107.76,,
2007-12-01,86.16,,
2008-01-01,77.04,,
2008-02-01,98.64,,
2008-03-01,66.24,,
2008-04-01,85.60,,
2008-05-01,62.50,,
2008-06-01,60.70,,
2008-07-01,,,
2008-08-01,,,
2008-09-01,,,
2008-10-01,,,
2008-11-01,,,
2008-12-01,,,
2009-01-01,139.80,,
2009-02-01,51.80,,
2009-03-01,46.40,,
2009-04-01,121.40,,
2009-05-01,106.00,,
2009-06-01,183.20,,
2009-07-01,100.30,,
2009-08-01,107.20,,
2009-09-01,41.30,,
2009-10-01,27.60,,
2009-11-01,6.60,,
2009-12-01,45.80,,
2010-01-01,41.70,,
2010-02-01,71.40,,
