Fecha,P42,P43,P55
2003-11-01,75.80,,
2003-12-01,101.64,,
2004-01-01,,,
2004-02-01,,,
2004-03-01,,,
2004-04-01,,,
2004-05-01,,,
2004-06-01,,,
2004-07-01,,,
2004-08-01,,,
2004-09-01,74.64,,
2004-10-01,66.98,,
2004-11-01,35.76,,
2004-12-01,42.96,,
2005-01-01,12.72,,
2005-02-01,41.04,,
2005-03-01,49.60,,
2005-04-01,204.96,,
2005-05-01,117.12,,
2005-06-01,167.50,,
2005-07-01,104.68,,
2005-08-01,57.12,,
2005-09-01,67.20,,
2005-10-01,,,
2005-11-01,,,
2005-12-01,149.04,,
2006-01-01,97.92,,
2006-02-01,71.76,,
2006-03-01,134.64,,
2006-04-01,107.40,,
2006-05-01,122.40,,
2006-06-01,181.12,,
2006-07-01,119.12,,
2006-08-01,,,
2006-09-01,,,
2006-10-01,,,
2006-11-01,,,
2006-12-01,,,
2007-01-01,45.28,,
2007-02-01,39.12,,
2007-03-01,70.56,,
2007-04-01,134.88,,
2007-05-01,109.27,,
2007-06-01,205.92,,
2007-07-01,55.20,,
2007-08-01,176.40,,
2007-09-01,97.20,,
2007-10-01,67.44,,
2007-11-01,85.44,,
2007-12-01,59.28,,
2008-01-01,64.80,,
2008-02-01,94.56,,
2008-03-01,64.56,,
2008-04-01,86.40,,
2008-05-01,119.04,,
2008-06-01,138.00,,
2008-07-01,132.00,,
2008-08-01,112.56,40.30,
2008-09-01,126.00,58.50,
2008-10-01,162.24,,
2008-11-01,101.92,,
2008-12-01,77.04,49.90,
2009-01-01,106.76,64.40,
2009-02-01,78.24,48.00,
2009-03-01,73.76,25.10,
2009-04-01,109.96,65.20,
2009-05-01,103.44,71.50,
2009-06-01,110.88,,
2009-07-01,169.20,,
2009-08-01,133.20,38.90,
2009-09-01,53.28,15.00,
2009-10-01,67.44,,
2009-11-01,32.64,,12.80
2009-12-01,59.28,,60.70
2010-01-01,30.48,,21.50
2010-02-01,45.84,,21.30
2010-03-01,77.28,20.70,46.00
2010-04-01,169.36,,129.60
2010-05-01,124.00,,79.20
2010-06-01,225.84,29.60,131.40
2010-07-01,174.24,66.00,105.80
2010-08-01,184.80,73.40,119.90
2010-09-01,130.80,33.20,65.80
2010-10-01,58.62,51.80,36.70
2010-11-01,164.68,,104.50
2010-12-01,131.28,,71.60
2011-01-01,53.76,37.60,51.30
2011-02-01,128.32,,129.70
2011-03-01,86.88,74.80,63.70
2011-04-01,143.76,111.60,151.90
2011-05-01,189.60,141.20,110.60
2011-06-01,144.00,144.50,109.20
2011-07-01,256.24,138.00,141.20
2011-08-01,143.28,63.70,81.00
2011-09-01,161.76,87.30,70.50
2011-10-01,109.04,74.00,78.50
2011-11-01,178.36,96.30,74.00
2011-12-01,183.04,115.90,84.90
2012-01-01,138.72,114.20,95.70
2012-02-01,114.96,83.40,53.50
2012-03-01,145.44,90.80,75.50
2012-04-01,132.72,99.50,84.10
2012-05-01,130.08,92.90,62.10
2012-06-01,133.44,83.00,53.70
2012-07-01,187.20,118.00,78.70
2012-08-01,174.96,117.40,88.60
2012-09-01,91.68,57.50,42.10
2012-10-01,92.88,71.00,59.00
2012-11-01,,40.60,81.70
2012-12-01,,45.20,29.00
2013-01-01,,64.40,54.70
2013-02-01,190.40,159.60,108.10
2013-03-01,,57.10,45.90
2013-04-01,95.04,69.80,41.20
2013-05-01,138.72,114.50,103.60
2013-06-01,125.76,78.40,39.90
2013-07-01,221.76,138.20,102.10
2013-08-01,119.04,73.80,44.40
2013-09-01,127.68,86.80,65.80
2013-10-01,138.96,83.50,75.90
2013-11-01,157.52,88.70,57.70
2013-12-01,56.40,36.50,29.80
2014-01-01,130.32,93.70,59.70
2014-02-01,32.16,16.60,23.50
2014-03-01,128.16,100.80,87.00
2014-04-01,174.72,113.90,66.50
2014-05-01,160.32,118.80,97.60
2014-06-01,244.80,172.10,131.80
2014-07-01,189.60,114.80,83.90
2014-08-01,152.88,97.50,67.40
2014-09-01,156.72,95.00,71.20
2014-10-01,169.20,105.90,103.00
2014-11-01,119.76,81.70,52.50
2014-12-01,109.68,76.80,83.00
2015-01-01,107.52,64.40,62.70
2015-02-01,70.08,39.60,28.30
2015-03-01,151.68,95.80,85.40
2015-04-01,204.96,110.70,72.30
