Fecha,C12
2011-10-01,12.886
2011-11-01,12.914
2011-12-01,12.800
2012-01-01,12.514
2012-02-01,11.999
2012-03-01,12.139
2012-04-01,12.500
2012-05-01,11.881
2012-06-01,11.577
2012-07-01,11.357
2012-08-01,11.143
2012-09-01,11.302
2012-10-01,12.708
2012-11-01,12.856
2012-12-01,12.615
2013-01-01,12.586
2013-02-01,12.377
2013-03-01,12.747
2013-04-01,12.536
2013-05-01,12.818
2013-06-01,12.035
2013-07-01,
2013-08-01,11.458
2013-09-01,11.851
2013-10-01,12.477
2013-11-01,12.982
2013-12-01,
2014-01-01,
2014-02-01,
2014-03-01,12.707
2014-04-01,12.468
2014-05-01,12.823
2014-06-01,11.958
2014-07-01,11.587
2014-08-01,11.133
2014-09-01,11.572
2014-10-01,12.218
2014-11-01,13.147
2014-12-01,12.449
2015-01-01,12.030
2015-02-01,12.942
2015-03-01,12.761
2015-04-01,12.435
2015-05-01,12.326
2015-06-01,11.880
2015-07-01,11.866
2015-08-01,11.810
2015-09-01,12.099
2015-10-01,12.617
2015-11-01,13.127
2015-12-01,12.393
2016-01-01,13.889
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,12.993
2016-06-01,11.889
2016-07-01,11.379
2016-08-01,11.923
2016-09-01,12.038
2016-10-01,
2016-11-01,
2016-12-01,
2017-01-01,12.536
2017-02-01,12.852
2017-03-01,12.790
2017-04-01,12.762
2017-05-01,12.759
2017-06-01,12.549
2017-07-01,11.295
2017-08-01,11.830
2017-09-01,12.113
2017-10-01,12.379
2017-11-01,13.157
2017-12-01,12.825
2018-01-01,12.033
2018-02-01,12.709
2018-03-01,12.529
2018-04-01,12.420
2018-05-01,12.326
2018-06-01,11.795
2018-07-01,11.459
2018-08-01,11.463
2018-09-01,11.959
2018-10-01,13.323
2018-11-01,13.643
2018-12-01,12.423
2019-01-01,12.838
2019-02-01,12.828
2019-03-01,13.041
2019-04-01,13.197
2019-05-01,12.788
2019-06-01,12.192
2019-07-01,11.630
2019-08-01,11.347
2019-09-01,12.005
2019-10-01,12.292
2019-11-01,13.230
2019-12-01,13.287
2020-01-01,13.081
2020-02-01,12.922
2020-03-01,13.734
2020-04-01,13.210
2020-05-01,13.395
2020-06-01,12.693
2020-07-01,11.941
2020-08-01,12.487
2020-09-01,11.972
2020-10-01,12.224
2020-11-01,13.206
2020-12-01,12.964
2021-01-01,12.402
2021-02-01,13.040
2021-03-01,12.493
2021-04-01,12.533
2021-05-01,12.845
2021-06-01,12.310
2021-07-01,11.678
2021-08-01,11.713
2021-09-01,11.641
2021-10-01,13.017
2021-11-01,
2021-12-01,
2022-01-01,
2022-02-01,
2022-03-01,
2022-04-01,
2022-05-01,
2022-06-01,
2022-07-01,
2022-08-01,
2022-09-01,
2022-10-01,
2022-11-01,
2022-12-01,12.144
2023-01-01,11.909
2023-02-01,12.038
2023-03-01,12.108
2023-04-01,12.635
2023-05-01,12.795
2023-06-01,12.264
2023-07-01,12.002
2023-08-01,11.867
2023-09-01,11.982
2023-10-01,13.098
2023-11-01,13.183
2023-12-01,13.212
2024-01-01,12.904
2024-02-01,13.469
